AIDS  n.爱滋病(获得性免疫缺陷综合征)
abnormal  a.反常的
aboard  adv.在船上
abolish  vt.废止
abortion  n.流产
about  prep.在...周围
above  prep.在上方
abroad  adv.往国外
abrupt  a.突然的
absence  n.缺席
absent  a.缺席的
absolute  a.绝对的
absorb  vt.吸收
abstract  a.抽象的
absurd  a.荒谬的
abundant  a.丰富的
abuse  n.滥用
academic  a.学院的
academy  n.学院
accelerate  v.加速
accent  n.重音
accept  vt.接受
access  n.通路
accessible  a.易接近的
accident  n.意外事件
accommodation  n.膳宿
accompany  vt.陪伴
accomplish  vt.完成
account  n.报告
accountant  n.会计人员
accumulate  v.积聚
accuracy  n.精确
accuse  vt.指责
accustomed  a.惯常的
ache  n.疼痛
achieve  vt.完成
achievement  n.完成
acid  n.酸
acknowledge  vt.承认
acquaintance  n.认识
acquire  vt.获得
acquisition  n.获得
acre  n.英亩
across  prep.越过
act  n.行动
action  n.行动
active  a.活跃的
activity  n.活动
actor  n.男演员
actress  n.女演员
actual  a.真实的
acute  a.尖锐的
adapt  vt.使适应
adaptation  n.适应
add  vt.增加
addicted  a.沉溺于...的
addition  n.加法
address  n.住址
adequate  a.适当的
adjust  vt.调整
adjustment  n.调整
administration  n.行政
admirable  a.可钦佩的
admire  vt.赞美
admission  n.准许进入
admit  vt.承认
adolescence  n.青春期
adolescent  a.青春期的
adopt  vt.采用
adore  vt.崇拜
adult  n.成人
advance  n.前进
advantage  n.优点
adventure  n.冒险
advertise  vt.做广告
advertisement  n.广告
advice  n.忠告
advise  vt.劝告
advocate  n.提倡者
aeroplane  n.飞机
affair  n.事件
affect  vt.影响
affection  n.影响
afford  vt.买得起
afraid  a.害怕的
after  prep.在...之后
afternoon  n.午后
afterward  adv.然后
again  adv.再一次
against  prep.反对
age  n.年龄
agency  n.代理机构
agent  n.代理商
aggression  n.侵犯
aggressive  a.侵略的
ago  adv.以前
agree  vi.同意
agreement  n.同意
agricultural  a.农业的
agriculture  n.农业
ahead  a.领先的
aid  n.帮助
aim  n.目标
air  n.空气
aircraft  n.航空器
airline  n.航线
airmail  n.航空邮件
airplane  n.飞机
airport  n.飞机场
airspace  n.空域
alarm  n.惊恐
album  n.粘贴簿
alcohol  n.酒精
alcoholic  n.酒鬼
algebra  n.代数学
alike  a.相似的
alive  a.活着的
all  a.所有的
allergic  a.对...过敏的
alley  n.小路
allocate  vt.分派
allow  vt.允许
allowance  n.津贴
almost  adv.几乎
alone  a.孤独的
along  adv.平行地
alongside  adv.在旁边
aloud  adv.出声地
alphabet  n.字母
already  adv.已经
also  adv.也
alternative  n.两者择一
although  conj.虽然
altitude  n.高度
altogether  adv.完全地
aluminium  n.铝
always  adv.总是
amateur  n.业余爱好者
amaze  vt.使吃惊
amazing  a.令人惊异的
ambassador  n.大使
ambiguous  a.不明确的
ambition  n.野心
ambulance  n.救护车
among  prep.在...之中
amount  n.总数
ample  a.大量的
amuse  vt.消遣
amusement  n.兴味
analysis  n.分析
analyze  vt.分析
ancestor  n.祖先
ancient  a.古代的
and  conj.和
anecdote  n.轶事
anger  n.忿怒
angle  n.角
angry  a.生气的
animal  n.动物
ankle  n.踝
anniversary  n.周年纪念
announce  vt.宣布
announcement  n.公告
annoy  vt.使恼怒
annual  n.年刊
another  a.另外的
answer  n.答案
ant  n.蚂蚁
antarctic  a.南极的
antique  n.古董
anxiety  n.焦虑
anxious  a.忧虑的
any  a.任何的
anybody  pron.任何人
anyhow  adv.无论如何
anyone  pron.任何人
anything  pron.任何事
anyway  adv.无论如何
anywhere  adv.无论何处
apart  adv.成零碎
apartment  n.房间
apologize  vi.道歉
apology  n.道歉
apparent  a.清晰可见的
appeal  n.恳求
appear  vi.出现
appearance  n.出现
appendix  n.附录
appetite  n.食欲
applaud  v.拍手喝彩
apple  n.苹果
applicant  n.申请者
application  n.应用
apply  vt.涂
appoint  vt.任命
appointment  n.约会
appreciate  vt.赏识
appreciation  n.感激
approach  n.接近
appropriate  a.适当的
approve  vt.赞同
approximately  adv.大约
apron  n.围裙
arbitrary  a.任意的
arch  n.拱门
architect  n.建筑师
architecture  n.建筑学
arctic  a.北极的
area  n.区域
argue  vi.提出理由
argument  n.争论
arise  vi.站立
arithmetic  n.算术
arm  n.手臂
armchair  n.扶手椅
army  n.军队
around  prep.包围
arrange  v.安排
arrangement  n.排列
arrest  n.逮捕
arrival  n.到达
arrive  vi.到达
arrow  n.箭
art  n.艺术
article  n.文章
artificial  a.人造的
artist  n.艺术家
as  adv.同样地
ash  n.灰
ashamed  a.惭愧的
aside  n.小声说的话
ask  vi.问
asleep  a.睡着的
aspect  n.外观
assess  vt.估定
assessment  n.评估
assist  n.帮助
assistance  n.协助
assistant  n.助手
associate  n.同伴
association  n.协会
assume  vt.假定
assumption  n.假定
astonish  vt.使惊讶
astronaut  n.太空旅行者
astronomer  n.天文学家
astronomy  n.天文学
at  prep.在
athlete  n.运动员
athletic  a.运动的
athletics  n.体育运动
atmosphere  n.大气
atom  n.原子
attach  vt.附上
attack  n.攻击
attain  vt.达到
attempt  n.尝试
attend  vt.参加
attention  n.注意
attentively  adv.注意地
attitude  n.态度
attract  vt.吸引
attraction  n.吸引
attractive  a.吸引人的
audience  n.听众
august  n.八月
aunt  n.阿姨
authentic  a.可靠的
author  n.作家
authority  n.权力
automatic  n.自动手枪
autonomous  a.自治的
autumn  n.秋天
available  a.可利用的
avenue  n.大街
average  n.平均
avoid  vt.避免
awake  a.醒着的
award  n.奖品
aware  a.知道的
away  adv.离去
awesome  a.引起敬畏的
awful  a.可怕的
awkward  a.笨拙的
baby  n.婴孩
bachelor  n.单身汉
back  a.后面的
backache  n.背痛
background  n.背景
backward  adv.向后地
bacon  n.熏猪肉
bacterium  n.细菌
bad  a.坏的
badly  adv.严重地
badminton  n.羽毛球运动
bag  n.袋子
baggage  n.行李
bake  vt.烘焙
bakery  n.面包店
balance  n.平衡
balcony  n.阳台
ball  n.球
ballet  n.芭蕾舞
balloon  n.气球
ballpoint  n.圆珠笔
bamboo  n.竹子
ban  n.禁令
banana  n.香蕉
band  n.带子
bandage  n.绷带
bang  n.重击
bank  n.银行
bar  n.条
barbecue  n.烤肉
barber  n.理发师
barbershop  n.理发店
bare  a.赤裸的
bargain  n.交易
bark  n.树皮
barrier  n.障碍
base  n.底部
baseball  n.棒球
basement  n.地下室
basic  n.基本原理
basin  n.盆
basis  n.基础
basket  n.篮
basketball  n.篮球
bat  n.蝙蝠
bath  n.沐浴
bathe  vt.沐浴
bathrobe  n.浴衣
bathroom  n.浴室
bathtub  n.浴缸
battery  n.电池
battle  n.战役
battleground  n.战场
bay  n.海湾
be  v.是
beach  n.海滩
beam  n.横梁
bean  n.豆子
beancurd  n.豆腐
bear  n.熊
beard  n.胡须
beast  n.畜生
beat  n.心跳(声)
beautiful  a.美丽的
beauty  n.美
because  conj.因为
become  vi.变成
bed  n.床
bedclothes  n.铺盖
beddings  n.寝具
bedroom  n.卧室
bee  n.蜜蜂
beef  n.牛肉
beehive  n.蜂窝
beer  n.啤酒
before  prep.在...之前
beg  v.乞求
begin  v.开始
beginning  n.开始
behalf  n.利益
behave  vi.举止端正
behaviour  n.行为
behind  adv.在后地
being  n.存在
belief  n.信念
believe  v.相信
bell  n.铃
belly  n.腹部
belong  vi.属于
below  prep.在下面
belt  n.带子
bench  n.长椅子
bend  vi.变弯曲
beneath  prep.在...下方
beneficial  a.有益的
benefit  n.利益
bent  a.弯曲的
beside  prep.在旁边
besides  prep.除...之外
betray  vt.出卖
better  a.较好的
between  prep.在...之间
beyond  prep.超过
bicycle  n.自行车
bid  n.出价
big  a.大的
bike  n.自行车
bill  n.帐单
billion  num.十亿
bingo  n.宾戈(一种赌博游戏)
biochemistry  n.生物化学
biography  n.传记
biology  n.生物学
bird  n.鸟
birdcage  n.鸟笼
birth  n.出生
birthday  n.生日
birthplace  n.诞生地
biscuit  n.饼干
bishop  n.主教
bit  n.少量
bite  n.咬
bitter  a.苦的
black  n.黑色
blackboard  n.黑板
blame  n.过失
blank  n.空格
blanket  n.毛毯
bleed  vi.流血
bless  vt.祝福
blind  n.蒙蔽物
block  n.街区
blood  n.血
blouse  n.宽松的上衣
blow  n.吹
blue  n.蓝色
board  n.木板
boat  n.船
boating  n.划船
body  n.身体
boil  n.煮沸
bomb  n.炸弹
bond  n.捆绑物
bone  n.骨头
bonus  n.奖金
book  n.书
bookcase  n.书架
bookmark  n.书签
bookshelf  n.书架
bookshop  n.书店
bookstore  n.书店
boom  n.繁荣
boot  n.长靴
booth  n.亭
border  n.边缘
bored  a.无聊的
boring  a.烦人的
born  a.天生的
borrow  vt.借
boss  n.老板
botanical  a.植物学的
botany  n.植物学
both  a.两者的
bottle  n.瓶子
bottom  n.底部
bounce  n.跳
bound  n.跃
boundary  n.边界
bow  n.弓
bowl  n.碗
bowling  n.保龄球戏
box  n.盒子
boxing  n.拳击
boy  n.男孩
boycott  n.联合抵制
brain  n.脑
brake  n.刹车
branch  n.树枝
brand  n.商标
brave  a.勇敢的
bravery  n.勇敢
bread  n.面包
break  n.休息
breakfast  n.早餐
breakthrough  n.突破
breast  n.胸部
breath  n.呼吸
breathe  vi.呼吸
breathless  a.喘不过气来的
brewery  n.啤酒厂
brick  n.砖块
bride  n.新娘
bridegroom  n.新郎
bridge  n.桥
brief  n.摘要
bright  a.明亮的
brilliant  a.光辉的
bring  vt.带来
broad  a.宽广的
broadcast  n.广播
brochure  n.小册子
broken  a.坏掉的
broom  n.扫帚
brother  n.兄弟
brotherhood  n.手足情谊
brown  n.褐色
brunch  n.早午餐
brush  n.刷子
bucket  n.桶
budget  n.预算
buffet  n.自助餐
build  v.建立
building  n.建筑物
bun  n.小面包
bunch  n.串
bungalow  n.平房
burden  n.负担
bureaucratic  a.官僚的
burglar  n.窃贼
burial  n.埋葬
burn  vt.烧
burst  n.破裂
bury  vt.埋葬
bus  n.公共汽车
bush  n.矮树丛
business  n.生意
businessman  n.商人
businesswoman  n.商人
busy  a.忙碌的
but  prep.除了
butcher  n.屠夫
butter  n.奶油
butterfly  n.蝴蝶
button  n.钮扣
buy  vt.买
by  prep.被
bye  interj.再会
cab  n.出租车
cabbage  n.卷心菜
cafeteria  n.自助餐厅
cage  n.笼
cake  n.蛋糕
calculate  v.计算
call  n.呼叫
calm  n.平稳
camel  n.骆驼
camera  n.照相机
camp  n.露营
campaign  n.战役
can  vt.装罐
canal  n.运河
cancel  n.取消
cancer  n.癌
candidate  n.候选人
candle  n.蜡烛
candy  n.糖果
canteen  n.水壶
cap  n.盖子
capital  n.首都
capsule  n.胶囊
captain  n.船长
caption  n.说明
car  n.汽车
carbon  n.碳
card  n.卡片
care  n.小心
careful  a.小心的
careless  a.粗心的
carpenter  n.木匠
carpet  n.地毯
carriage  n.马车
carrier  n.运送者
carrot  n.胡萝卜
carry  n.进位
cartoon  n.卡通画
carve  v.雕刻
case  n.情形
cash  n.现金
cast  n.演员阵容
castle  n.城堡
casual  a.偶然的
cat  n.猫
catalogue  n.目录
catastrophe  n.大灾难
catch  n.捕捉
category  n.种类
cater  v.提供饮食及服务
cathedral  n.大教堂
catholic  n.天主教徒
cattle  n.牛
cause  n.原因
caution  n.小心
cautious  a.谨慎的
cave  n.洞
ceiling  n.天花板
celebrate  v.庆祝
celebration  n.庆祝
cell  n.单元
cellar  n.地窖
cent  n.分
centigrade  a.百分度的
centimetre  n.厘米
central  a.中央的
centre  n.中心
century  n.世纪
ceremony  n.典礼
certain  a.确定的
certainly  adv.确定地
certificate  n.证书
chain  n.链
chair  n.椅子
chairman  n.主席
chairwoman  n.女主席
chalk  n.粉笔
challenge  n.挑战
challenging  a.挑战的
champion  n.冠军
chance  n.机会
change  n.变化
changeable  a.可改变的
channel  n.海峡
chant  n.圣歌
chaos  n.大混乱
chapter  n.章
character  n.个性
characteristic  n.特性
charge  n.指控
chart  n.图表
chat  n.闲谈
cheap  a.便宜的
cheat  n.欺骗
check  n.检查
cheek  n.颊
cheer  n.愉快
cheerful  a.快活的
cheers  interj.干杯
cheese  n.乳酪
chef  n.厨师
chemical  n.化学药品
chemist  n.化学家
chemistry  n.化学
cheque  n.支票
chess  n.国际象棋
chest  n.胸
chew  vt.咀嚼
chick  n.小鸡
chicken  n.小鸡
chief  n.领袖
child  n.孩子
childhood  n.孩童时期
chimney  n.烟囱
chips  n.炸土豆条
chocolate  n.巧克力
choice  n.选择
choir  n.唱诗班
choke  vt.窒息
choose  vt.选择
chopsticks  n.筷子
chorus  n.合唱队
church  n.教堂
cigar  n.雪茄
cigarette  n.香烟
cinema  n.电影院
circle  n.圆周
circuit  n.电路
circulate  v.(使)流通
circumstance  n.环境
circus  n.马戏团
citizen  n.市民
city  n.城市
civil  a.市民的
civilian  n.平民
civilization  n.文明
clap  n.拍手
clarify  vi.澄清
class  n.班级
classic  n.古典作品
classical  a.古典的
classify  vt.分类
classmate  n.同班同学
classroom  n.教室
claw  n.爪
clay  n.泥土
clean  a.干净的
cleaner  n.清洁工人
clear  a.清楚的
clearly  adv.清楚地
clerk  n.办事员
clever  a.聪明的
click  n.咔哒声
climate  n.气候
climb  v.攀登
clinic  n.诊所
clock  n.时钟
clone  n.无性系
close  n.结束
cloth  n.布料
clothes  n.衣服
clothing  n.衣服
cloud  n.云
cloudy  a.多云的
club  n.俱乐部
clumsy  a.笨拙的
coach  n.四轮大马车
coal  n.煤
coast  n.海岸
coat  n.外套
cock  n.公鸡
cocoa  n.可可粉
coffee  n.咖啡
coin  n.硬币
coincidence  n.巧合
coke  n.可口可乐
cold  n.感冒
collar  n.衣领
colleague  n.同事
collect  v.收集
collection  n.收集
college  n.学院
collision  n.碰撞
colour  n.颜色
comb  n.头梳
combine  v.(使)联合
come  vi.过来
comedy  n.喜剧
comfort  n.舒适
comfortable  a.舒服的
comma  n.逗点
command  n.命令
comment  n.注解
commit  vt.委托(托付)
commitment  n.委托
committee  n.委员会
common  a.通常的
communicate  vt.显露
communication  n.交流
communism  n.共产主义
communist  n.共产主义者
companion  n.朋友
company  n.公司
compare  vt.比较
compass  n.指南针
compensate  v.偿还
compete  vi.竞争
competence  n.胜任
competition  n.竞争
competitor  n.竞争者
complete  a.完全的
complex  n.综合体
component  n.元件
composition  n.作文
comprehension  n.理解
compromise  n.妥协
compulsory  a.被强制的
computer  n.电脑
comrade  n.同志
concentrate  n.浓缩
concept  n.观念
concern  n.关心
concert  n.音乐会
conclude  vt.结束
conclusion  n.结论
concrete  n.凝结物
condemn  vt.判刑
condition  n.情况
conduct  n.行为
conductor  n.领导者
conference  n.会议
confident  a.有信心的
confidential  a.机密的
confirm  vt.证实
conflict  n.战斗
confuse  vt.使混乱
congratulate  vt.祝贺
congratulation  n.祝贺
connect  v.连接
connection  n.连接
conscience  n.良心
consensus  n.合意
consequence  n.结果
conservation  n.保护
consider  v.考虑
considerate  a.体贴的
consideration  n.考虑
consist  vi.组成
consistent  a.一致的
constant  n.常数
constitution  n.构成
construct  vt.构造
construction  n.建筑
consult  vi.商讨
consultant  n.顾问
consume  vt.消耗
contain  vt.包含
container  n.容器
contemporary  n.同时代的人
content  n.内容
continent  n.大陆
continue  vi.继续
contradict  vt.反驳
contradictory  a.反驳的
contrary  a.相反的
contribute  vt.有助于
contribution  n.捐助
control  n.控制
controversial  a.争论的
convenience  n.方便
convenient  a.方便的
conventional  a.传统的
conversation  n.会话
convey  vt.传达
convince  vt.说服
cook  n.厨子
cooker  n.炊事用具
cookie  n.饼干
cool  n.凉爽
copy  n.副本
coral  n.珊瑚
cordless  a.无绳索的
corn  n.玉蜀黍
corner  n.角落
corporation  n.公司
correct  a.正确的
correction  n.订正
correspond  vi.符合
corrupt  a.腐败的
cost  n.代价
cosy  a.温暖舒适的
cottage  n.小屋
cotton  n.棉花
cough  n.咳嗽
could  aux.可以
count  vt.计算
counter  n.计算器
country  n.国家
countryside  n.乡下地方
couple  n.对
courage  n.勇气
course  n.课程
court  n.法院
courtyard  n.庭院
cousin  n.堂兄弟姊妹
cover  n.盖子
cow  n.母牛
cowboy  n.牛仔
crash  n.哗啦声
crayon  n.蜡笔
crazy  a.发狂的
cream  n.乳酪
create  vt.创造
creature  n.人
credit  n.信用
crew  n.全体人员
crime  n.犯罪
criminal  n.罪犯
criterion  n.标准
crop  n.农作物
cross  n.十字架
crossing  n.横越
crossroads  n.十字路口
crowd  n.群众
crowded  a.拥挤的
cruel  a.残酷的
cry  n.叫声
cube  n.立方体
cubic  a.立方体的
cuisine  n.烹调风格
culture  n.文化
cup  n.杯子
cupboard  n.食橱
cure  n.治疗
curious  a.好奇的
currency  n.货币
curriculum  n.课程
curtain  n.帐
cushion  n.垫子
custom  n.习惯
customer  n.消费者
customs  n.海关
cut  n.切口
cycle  n.周期
cyclist  n.骑脚踏车的人
dad  n.爸爸
daily  a.每日的
dam  n.水坝
damage  n.损害
damp  n.潮湿
dance  n.跳舞
danger  n.危险
dangerous  a.危险的
dare  n.挑战
dark  n.黑暗
darkness  n.黑暗
dash  n.冲撞
database  n.数据库
date  n.日期
daughter  n.女儿
dawn  n.破晓
day  n.天
daylight  n.白昼
dead  a.死的
deadline  n.最后期限
deaf  a.聋的
deal  n.交易
dear  n.亲爱的人
death  n.死亡
debate  n.辩论
debt  n.债务
decade  n.十年
decide  v.决定
decision  n.决定
declare  v.宣布
decline  n.衰退
decorate  v.装饰
decoration  n.装饰
decrease  n.减少
deed  n.行为
deep  a.深的
deeply  adv.深刻地
deer  n.鹿
defeat  n.败北
defence  n.防卫
defend  vt.防护
degree  n.程度
delay  n.耽搁
delete  vt.删除
deliberately  adv.故意地
delicate  a.细致优雅的
delicious  a.美味的
delight  n.高兴
delighted  a.高兴的
deliver  vt.递送
demand  n.要求
dentist  n.牙科医生
department  n.部门
departure  n.离开
depend  vi.靠
deposit  n.存款
depth  n.深度
describe  vt.描述
description  n.描述
desert  n.沙漠
deserve  vt.该得到
design  n.设计
desire  n.欲望
desk  n.书桌
desperate  a.不顾一切的
dessert  n.餐后甜点
destination  n.目的地
destroy  vt.破坏
detective  n.侦探
determination  n.决心
determine  v.决定
develop  vt.发展
development  n.发展
devote  vt.投入于
devotion  n.热爱
diagram  n.图表
dial  n.刻度盘
dialogue  n.对话
diamond  n.钻石
diary  n.日记
dictation  n.听写
dictionary  n.字典
die  vi.死亡
diet  n.日常饮食
differ  vi.不一致
difference  n.不同
different  a.不同的
difficult  a.困难的
difficulty  n.困难
dig  vt.挖
digest  n.文摘
digital  a.数字显示的
dignity  n.尊严
dilemma  n.困境
dimension  n.尺寸
dine  vi.用正餐
dinner  n.晚餐
dinosaur  n.恐龙
dioxide  n.二氧化物
dip  v.浸
diploma  n.文凭
direct  a.直接的
direction  n.方向
director  n.主管
directory  n.目录
dirt  n.污垢
dirty  a.肮脏的
disability  n.无力
disabled  a.残废的
disadvantage  n.缺点
disagree  vi.不一致
disagreement  n.不合
disappear  vi.消失
disappoint  vt.使失望
disappointment  n.失望
disaster  n.灾祸
discount  n.折扣
discourage  vt.使气馁
discover  vt.发现
discovery  n.发现
discrimination  n.差别
discuss  vt.讨论
discussion  n.讨论
disease  n.疾病
disgusting  a.令人厌恶的
dish  n.盘子
dislike  n.嫌恶
dismiss  vt.解散
disobey  v.违反
distance  n.距离
distant  a.远的
distinction  n.区别
distinguish  v.区别
distribute  vt.分配
district  n.区域
disturb  vt.扰乱
disturbing  a.引起烦恼的
dive  n.潜水
diverse  a.不同的
divide  vi.分开
division  n.分
divorce  n.离婚
dizzy  a.晕眩的
do  v.做
doctor  n.医生
document  n.文件
does  v.做
dog  n.狗
doll  n.洋娃娃
dollar  n.美元
door  n.门
dormitory  n.宿舍
dot  n.点
double  n.两倍
doubt  n.怀疑
down  a.向下的
downstairs  n.楼下
downtown  n.市中心区
downward  a.向下的
dozen  n.打
draft  n.气流
drag  n.拖
draw  vi.拉
drawback  n.缺点
drawer  n.抽屉
drawing  n.图画
dream  n.梦
dress  n.服装
drier  n.干燥机
drill  n.钻孔机
drink  n.饮料
drive  n.驾车
driver  n.驾驶员
drop  n.滴
drown  vi.淹死
drug  n.药
drum  n.鼓
drunk  a.喝醉了的
dry  a.干的
duck  n.鸭子
due  n.应得的东西
dull  a.钝的
dumpling  n.面团布丁
during  prep.在...的时候
dusk  n.薄暮
dust  n.灰尘
dustbin  n.垃圾箱
dusty  a.灰尘多的
duty  n.责任
dynamic  a.动态的
dynasty  n.朝代
each  a.每个
eager  a.热心的
eagle  n.鹰
ear  n.耳朵
early  a.早的
earn  vt.赚得
earth  n.地球
earthquake  n.地震
ease  n.安乐
easily  adv.容易地
east  n.东方
eastern  n.东方人
eastwards  adv.向东方地
easy  a.容易的
eat  v.吃
ecology  n.生态学
edge  n.边缘
edition  n.版本
editor  n.编者
educate  vt.教育
education  n.教育
educator  n.教育家
effect  n.结果
effort  n.努力
egg  n.蛋
eggplant  n.茄子
eight  num.八
eighteen  num.十八
eighth  num.第八
eighty  num.八十
either  a.(两者之中)任一的
elder  n.年长者
elect  n.当选人
electric  a.电的
electrical  a.电的
electricity  n.电
electronic  a.电子的
elegant  a.优雅的
elephant  n.象
eleven  num.十一
else  a.别的
email  n.电子信函
embarrass  vt.使困窘
embassy  n.大使馆
emergency  n.紧急状况
emperor  n.皇帝
empire  n.帝国
employ  n.雇用
empty  a.空的
encourage  vt.鼓励
encouragement  n.鼓励
end  n.结束
ending  n.终止
endless  a.不停的
enemy  n.敌人
energetic  a.精力充沛的
energy  n.精力
engine  n.引擎
engineer  n.工程师
enjoy  vt.享受
enjoyable  a.可从中得到乐趣的
enlarge  vt.扩大
enough  n.充足
enquiry  n.询问
enter  vt.进入
enterprise  n.企业
entertainment  n.娱乐
enthusiastic  a.狂热的
entire  n.整个
entrance  n.入口
entry  n.登录
envelope  n.信封
environment  n.环境
envy  n.羡慕
equal  n.对手
equality  n.平等
equip  vt.装备
equipment  n.装备
eraser  n.擦子
error  n.错误
erupt  vi.爆发
escape  n.逃亡
especially  adv.尤其
essay  n.随笔
evaluate  vt.评估
even  a.平坦的
evening  n.傍晚
event  n.事件
eventually  adv.最后
ever  adv.曾经
every  a.每一
everybody  pron.每个人
everyday  a.每天的
everyone  pron.每个人
everything  pron.每件事物
everywhere  adv.各处
evidence  n.根据
evident  a.显然的
evolution  n.进化
exact  a.精确的
exactly  adv.确切地
exam  n.考试
examination  n.考试
examine  v.检查
example  n.例子
excellent  a.优良的
except  vt.除
exchange  n.交换
excite  vt.刺激
excuse  vt.原谅
exercise  n.行使
exhibition  n.表现
exist  vi.存在
existence  n.存在
exit  n.出口
expand  vt.使膨胀
expect  vt.预期
expectation  n.期待
expense  n.费用
expensive  a.贵的
experience  n.经历
experiment  n.实验
expert  n.专家
explain  v.解释
explanation  n.解释
explicit  a.详述的
explode  vi.爆炸
exploit  n.功绩
explore  v.探险
explorer  n.探险家
export  n.输出品
expose  vt.使暴露
express  n.快车
expression  n.表达
extension  n.延长
extra  n.额外的事物
extraordinary  a.非常的
extreme  n.极端
extremely  adv.极端地
eye  n.眼睛
eyesight  n.视力
eyewitness  n.目击者
face  n.脸
facial  n.美颜
fact  n.事实
factory  n.工厂
fade  vi.褪色
fail  vi.失败
failure  n.失败
fair  n.展览会
fairly  adv.美观地
fairness  n.晴朗
faith  n.信心
fall  n.落下
false  a.错误的
familiar  a.熟悉的
family  n.家庭
famous  a.出名的
fan  n.风扇
fancy  n.想象力
fantastic  a.奇妙的
fantasy  n.幻想
far  a.远的
fare  n.费用
farm  n.农场
farmer  n.农夫
fast  a.快速的
fasten  vt.拴紧
fat  n.脂肪
father  n.父亲
fault  n.过错
favour  n.好感
favourite  n.喜欢的事物
fear  n.恐怖
feast  n.宴会
feather  n.羽毛
fee  n.费用
feed  n.饲料
feel  vt.感觉
feeling  n.摸
fellow  n.男人
female  n.女性
fence  n.围墙
ferry  n.渡船
festival  a.节日的
fetch  n.取得
fever  n.发烧
few  a.很少的
fibre  n.纤维
fiction  n.小说
field  n.领域
fierce  a.凶猛的
fifteen  num.十五
fifth  num.第五
fifty  num.五十
fight  n.打架
fighter  n.斗士
figure  n.数字
file  n.档案
fill  vt.装满
film  n.软片
final  n.期末考试
finance  n.财政
find  vt.发现
fine  n.罚款
finger  n.手指
fingernail  n.手指甲
finish  n.完成
fire  n.火
firefighter  n.<美>消防队员
fireplace  n.壁炉
firewood  n.木柴
firework  n.烟火具
firm  n.公司
firmly  adv.坚固
first  adv.首先
fish  n.鱼
fisherman  n.渔夫
fist  n.拳头
fit  n.适宜
five  num.五
fix  vt.使固定
flag  n.标志
flame  n.火焰
flaming  a.燃烧的
flash  n.闪光
flashlight  n.手电筒
flat  a.平坦的
flee  vt.逃避
flesh  n.肉
flexible  a.易曲的
flight  n.飞行
float  n.漂流物
flood  n.洪水
floor  n.地板
flour  n.面粉
flow  n.流程
flower  n.花
flu  n.流感
fluency  n.流畅
fluent  a.流利的
fly  n.苍蝇
focus  n.焦点
fog  n.雾
foggy  a.雾深的
fold  n.折层
folk  n.人们
follow  vt.跟随
following  n.下列各项
fond  a.喜欢的
food  n.食物
fool  n.愚人
foolish  a.愚蠢的
foot  n.脚
football  n.足球
for  prep.为
forbid  vt.禁止
force  n.力量
forecast  n.预想
forehead  n.额
foreign  a.外国的
foreigner  n.外国人
foresee  vt.预见
forest  n.森林
forever  adv.永远
forget  vt.忘记
forgetful  a.健忘的
forgive  vt.原谅
fork  n.叉子
form  n.形状
format  n.开本
former  a.从前的
fortnight  n.两星期
fortunate  a.幸运的
fortune  n.财富
forty  num.四十
forward  a.向前的
found  vt.建立
fountain  n.水源
four  num.四
fourteen  num.十四
fourth  num.第四
fox  n.狐狸
fragile  a.易碎的
fragrant  a.芬香的
framework  n.结构
franc  n.法郎
free  a.自由的
freedom  n.自由
freeway  n.高速公路
freeze  vi.冻结
